Company,Price,S/O,Market Cap,Cash,Debt,Revenue,EV,Forward PE
FMC,107.33,129.57M,13.91B,342.7M,3.72B,4.62B,17.31B,14.70
FOX,26.01,261.08M,15.72B,4.65B,8.52B,12.3B,19.93B,11.07
FOXA,26.00,343.68M,15.73B,4.65B,8.52B,12.3B,19.92B,11.50
FRC,112.97,172.12M,19.44B,3.12B,18.14B,3.43B,35.61B,20.25
FRT,80.32,75.64M,6.08B,980.04M,4.61B,874.88M,10.14B,32.26
FTI,7.47,449.33M,3.39B,4.9B,5.43B,13.35B,3.97B,11.15
FTNT,131.71,161.83M,21.31B,1.53B,43.3M,2.35B,19.83B,38.40
FTV,71.72,337.07M,24.17B,1.06B,5.9B,7.15B,29.02B,19.81
GD,,,,,,,,
GE,6.31,8.75B,55.23B,22.43B,84.81B,87.87B,119.2B,18.03
GILD,66.50,1.25B,83.37B,19.36B,24.1B,22.17B,88.22B,9.47
GIS,64.02,610.92M,39.11B,1.68B,13.92B,17.63B,52.12B,17.59
GL,80.73,106.51M,8.6B,645.68M,2.1B,4.59B,10.06B,10.84
GLW,32.47,761.78M,24.73B,2.16B,8.5B,10.7B,33.46B,18.99
GM,28.56,1.43B,40.87B,30.98B,128.26B,115.79B,142.34B,6.52
GOOG,"1,580.42",333.63M,1.07T,121.08B,16.14B,166.03B,970.01B,28.05
GOOGL,"1,575.57",300.47M,1.07T,121.08B,16.14B,166.03B,966.71B,27.87
GPC,93.28,144.26M,13.46B,983.76M,3.97B,18.59B,16.47B,17.18
GPN,168.18,299.24M,50.33B,1.83B,9.8B,6.67B,58.51B,21.05
GPS,14.43,373.47M,5.39B,1.08B,7.97B,14.78B,12.28B,14.43
GRMN,102.43,191.24M,19.59B,1.74B,60M,3.76B,17.91B,22.56
GS,202.43,344.08M,69.65B,732.62B,452.89B,37.16B,-191.78B,8.84
GWW,352.61,53.57M,18.89B,1.6B,3.34B,11.63B,20.85B,19.67
HAL,15.74,878.47M,13.83B,1.81B,10.82B,18.97B,22.84B,32.79
HAS,76.82,137.02M,10.53B,978.95M,5.4B,4.97B,15.01B,17.82
HBAN,9.11,1.02B,9.27B,7.6B,10.07B,3.75B,13.44B,9.49
HBI,15.68,348.16M,5.46B,683.11M,4.63B,6.67B,9.41B,9.86
HCA,132.51,338.03M,44.79B,4.74B,32.54B,50.15B,74.94B,11.53
HD,283.23,1.08B,304.62B,14.14B,40.57B,119.32B,330.34B,23.90
HES,47.51,307.14M,14.59B,1.65B,8.9B,5.29B,22.72B,-21.40
HFC,24.98,162.02M,4.05B,902.51M,2.94B,14.27B,6.59B,17.84
HIG,39.85,358.2M,14.27B,3.96B,4.44B,20.72B,15.09B,7.53
HII,158.63,40.49M,6.42B,631M,2.45B,8.92B,8.24B,14.08
HLT,87.35,277.26M,24.22B,3.5B,11.67B,2.74B,32.39B,35.36
HOLX,66.75,258.98M,17.29B,744.2M,3.44B,3.3B,19.98B,15.93
HON,157.50,701.78M,110.53B,15.13B,22.85B,34.52B,118.48B,20.11
HPE,9.33,1.28B,11.99B,5.14B,17.83B,27.39B,24.73B,6.39
HPQ,18.23,1.43B,26.07B,4.05B,6.64B,57.1B,28.66B,7.82
HRB,14.62,192.85M,2.82B,2.66B,4.02B,2.64B,4.17B,5.56
HRL,52.68,538.95M,28.39B,622.91M,376.26M,9.6B,28.15B,28.95
HSIC,66.15,142.77M,9.44B,296.11M,1.35B,9.29B,11.41B,18.43
HST,10.60,705.26M,7.48B,1.58B,5.15B,3.74B,11.23B,-23.56
HSY,147.43,147.41M,30.67B,1.17B,5.29B,7.95B,34.8B,23.07
